text,label
"A Non-Gaussian Spatio-Temporal Model for Daily Wind Speeds Based on a
  Multivariate Skew-t Distribution",stat
Learning Event-Based Motion Deblurring,cs
"Estimation and Inference for Moments of Ratios with Robustness against
  Large Trimming Bias",stat
"Bayesian inference under small sample size -- A noninformative prior
  approach",stat
Wireless Broadcast with short labelling,cs
"BUT-FIT at SemEval-2019 Task 7: Determining the Rumour Stance with
  Pre-Trained Deep Bidirectional Transformers",cs
Device Heterogeneity in Federated Learning: A Superquantile Approach,stat
Algorithms for finding generalized minimum aberration designs,stat
"A Novel Algorithm for Optimized Real Time Anomaly Detection in
  Timeseries",stat
Aerial-Ground Interference Mitigation for Cellular-Connected UAV,cs
"Predicting Mortality Risk in Viral and Unspecified Pneumonia to Assist
  Clinicians with COVID-19 ECMO Planning",stat
"The More the Merrier?! Evaluating the Effect of Landmark Extraction
  Algorithms on Landmark-Based Goal Recognition",cs
Thompson Sampling via Local Uncertainty,stat
Degree irregularity and rank probability bias in network meta-analysis,stat
"ScoreDrivenModels.jl: a Julia Package for Generalized Autoregressive
  Score Models",stat
Hamiltonian Assisted Metropolis Sampling,stat
"""Does 4-4-2 exist?"" -- An Analytics Approach to Understand and Classify
  Football Team Formations in Single Match Situations",cs
Screening Sinkhorn Algorithm for Regularized Optimal Transport,stat
Space Filling Split Plot Design using Fast Flexible Filling,stat
"Kernel-Guided Training of Implicit Generative Models with Stability
  Guarantees",stat
"Distribution oblivious, risk-aware algorithms for multi-armed bandits
  with unbounded rewards",cs
"Adaptive exponential power distribution with moving estimator for
  nonstationary time series",stat
"On the Approximate Nearest Neighbor Queries among Curves under the
  Fr\'echet Distance",cs
"Modeling continuous-time stochastic processes using $\mathcal{N}$-Curve
  mixtures",stat
"Population structure-learned classifier for high-dimension
  low-sample-size class-imbalanced problem",cs
"Improving time use measurement with personal big data collection -- the
  experience of the European Big Data Hackathon 2019",cs
"A Review of Dispersion Control Charts for Multivariate Individual
  Observations",stat
"Traditional IR rivals neural models on the MS MARCO Document Ranking
  Leaderboard",cs
Cross-Layer Distillation with Semantic Calibration,cs
"Bayesian equation selection on sparse data for discovery of stochastic
  dynamical systems",stat
"Dual-mode ASR: Unify and Improve Streaming ASR with Full-context
  Modeling",cs
"Reliability study of a coherent system with single general standby
  component",stat
Graph-based Nearest Neighbor Search: From Practice to Theory,cs
"Modelling multi-scale state-switching functional data with hidden Markov
  models",stat
Making Streett Determinization Tight,cs
Age of Information in Random Access Channels,cs
"Monte Carlo integration of non-differentiable functions on
  $[0,1]^\iota$, $\iota=1,\dots,d$, using a single determinantal point pattern
  defined on $[0,1]^d$",stat
"ABCpy: A High-Performance Computing Perspective to Approximate Bayesian
  Computation",stat
Practical Transfer Learning for Bayesian Optimization,stat
Classification via local manifold approximation,stat
"Parametrization and generation of geological models with generative
  adversarial networks",stat
"On estimating the size of overcoverage with the latent class model. A
  critique of the paper ""Population Size Estimation Using Multiple Incomplete
  Lists with Overcoverage"" by di Cecco, di Zio, Filipponi and Rocchetti (2018,
  JOS 34 557-572)",stat
Simultaneous inference for mixed and small area parameters,stat
"Segmentation Criteria in the Problem of Porosity Determination based on
  CT Scans",cs
"Multi-Perspective Relevance Matching with Hierarchical ConvNets for
  Social Media Search",cs
"Prevalence Estimation from Random Samples and Census Data with
  Participation Bias",stat
"Optimal Combination of Linear and Spectral Estimators for Generalized
  Linear Models",stat
"Asymptotically optimal sequential FDR and pFDR control with (or without)
  prior information on the number of signals",stat
"A new segmentation method for the homogenisation of GNSS-derived IWV
  time-series",stat
"Bayesian Temporal Factorization for Multidimensional Time Series
  Prediction",stat
"Automatic Inference of High-Level Network Intents by Mining Forwarding
  Patterns",cs
"Refined approachability algorithms and application to regret
  minimization with global costs",cs
EnsembleDAgger: A Bayesian Approach to Safe Imitation Learning,cs
Causal Inference Using Linear Time-Varying Filters with Additive Noise,stat
Improving Word Recognition using Multiple Hypotheses and Deep Embeddings,cs
Statistical Assessment of Safety Levels of Railway Operators,stat
Normalizing Constant Estimation with Gaussianized Bridge Sampling,stat
A method for deriving information from running R code,stat
The Price of Local Fairness in Multistage Selection,stat
STEm-Seg: Spatio-temporal Embeddings for Instance Segmentation in Videos,cs
"Bridging preference-based instrumental variable studies and
  cluster-randomized encouragement experiments: study design, noncompliance,
  and average cluster effect ratio",stat
Gene-Environment Interaction: A Variable Selection Perspective,stat
On resistive spiking of fungi,cs
"Interpolating Population Distributions using Public-use Data with
  Application to the American Community Survey",stat
"Regional now- and forecasting for data reported with delay: Towards
  surveillance of COVID-19 infections",stat
Nonparametric regression for multiple heterogeneous networks,stat
"Generalized active learning and design of statistical experiments for
  manifold-valued data",stat
Gamma-Nets: Generalizing Value Estimation over Timescale,cs
Face Mask Detection using Transfer Learning of InceptionV3,cs
EU Long-term Dataset with Multiple Sensors for Autonomous Driving,cs
"Development and validation of computable Phenotype to Identify and
  Characterize Kidney Health in Adult Hospitalized Patients",stat
Non-parametric regression models for compositional data,stat
"BVAR-Connect: A Variational Bayes Approach to Multi-Subject Vector
  Autoregressive Models for Inference on Brain Connectivity Networks",stat
Deep Neural Network Training without Multiplications,cs
Graph Kernels: A Survey,stat
"FASTER: Fast and Safe Trajectory Planner for Flights in Unknown
  Environments",cs
An information theoretic view on selecting linguistic probes,cs
Seamless Variability Management With the Virtual Platform,cs
Panel: Humans and Technology for Inclusive Privacy and Security,cs
"Autoregressive Density Modeling with the Gaussian Process Mixture
  Transition Distribution",stat
"Modifying the Chi-square and the CMH test for population genetic
  inference: adapting to over-dispersion",stat
On Inferring Training Data Attributes in Machine Learning Models,cs
"Bayesian inference for treatment effects under nested subsets of
  controls",stat
"Treatment effect estimation with Multilevel Regression and
  Poststratification",stat
"Asynchronous Batch Bayesian Optimisation with Improved Local
  Penalisation",stat
"Quantifying the Uncertainty in Model Parameters Using Gaussian
  Process-Based Markov Chain Monte Carlo: An Application to Cardiac
  Electrophysiological Models",stat
"Social and material vulnerability in the face of seismic hazard: an
  analysis of the Italian case",stat
A Fast Proximal Point Method for Computing Exact Wasserstein Distance,stat
"Function approximation by deep neural networks with parameters $\{0,\pm
  \frac{1}{2}, \pm 1, 2\}$",stat
"A comparative study on movement feature in different directions for
  micro-expression recognition",cs
"The performance of the partially overlapping samples t-tests at the
  limits",stat
Quantile regression: a penalization approach,stat
Deep Radar Detector,cs
RICERCANDO: Data Mining Toolkit for Mobile Broadband Measurements,cs
"Contrastive Multiple Correspondence Analysis (cMCA): Using Contrastive
  Learning to Identify Latent Subgroups in Political Parties",cs
"State Complexity of the Set of Synchronizing Words for Circular Automata
  and Automata over Binary Alphabets",cs
"From User-independent to Personal Human Activity Recognition Models
  Exploiting the Sensors of a Smartphone",cs
"First Stretch then Shrink and Bulk: A Two Phase Approach for Enumeration
  of Maximal $(\Delta, \gamma)$\mbox{-}Cliques of a Temporal Network",cs
"Parameter Space Factorization for Zero-Shot Learning across Tasks and
  Languages",cs
Geometric adaptive Monte Carlo in random environment,stat
"Improving Perceptual Quality of Drum Transcription with the Expanded
  Groove MIDI Dataset",cs
"Autonomously Navigating a Surgical Tool Inside the Eye by Learning from
  Demonstration",cs
Causal effects based on distributional distances,stat
"Inf-VAE: A Variational Autoencoder Framework to Integrate Homophily and
  Influence in Diffusion Prediction",cs
How Social Are Social Media The Dark Patterns In Facebook's Interface,cs
Local Context Normalization: Revisiting Local Normalization,cs
DBRec: Dual-Bridging Recommendation via Discovering Latent Groups,cs
"Graphical Test for Discrete Uniformity and its Applications in Goodness
  of Fit Evaluation and Multiple Sample Comparison",stat
"Associations between park features, park satisfaction and park use in a
  multi-ethnic deprived urban area",stat
Incorporating Expert Prior in Bayesian Optimisation via Space Warping,cs
"Incorporating historical information to improve phase I clinical trial
  designs",stat
Improving GANs for Speech Enhancement,cs
Mechanism for Embossing Braille Characters on Paper: Conceptual Design,cs
"An Optimal Experimental Design Framework for Adaptive Inflation and
  Covariance Localization for Ensemble Filters",cs
An Efficient Language-Independent Multi-Font OCR for Arabic Script,cs
"GraphTheta: A Distributed Graph Neural Network Learning System With
  Flexible Training Strategy",cs
"Free-Space Features: Global Localization in 2D Laser SLAM Using Distance
  Function Maps",cs
Clustering Left-Censored Multivariate Time-Series,stat
"Gradient Descent-Ascent Provably Converges to Strict Local Minmax
  Equilibria with a Finite Timescale Separation",cs
The Statistical Performance of Matching-Adjusted Indirect Comparisons,stat
Heuristics for Quantum Compiling with a Continuous Gate Set,cs
"Clarification of Video Retrieval Query Results by the Automated
  Insertion of Supporting Shots",cs
"When Causal Intervention Meets Adversarial Examples and Image Masking
  for Deep Neural Networks",cs
"Traversing the noise of dynamic mini-batch sub-sampled loss functions: A
  visual guide",stat
"Learning deep representations by mutual information estimation and
  maximization",stat
Controlling False Discovery Rates Using Null Bootstrapping,stat
"Modeling Oral Glucose Tolerance Test (OGTT) data and its Bayesian
  Inverse Problem",stat
"Pairwise Interactive Graph Attention Network for Context-Aware
  Recommendation",cs
"A pipeline for fair comparison of graph neural networks in node
  classification tasks",cs
"Robust Adversarial Attacks Against DNN-Based Wireless Communication
  Systems",cs
Children's health in the digital age,cs
Markov Modeling of Time-Series Data using Symbolic Analysis,stat
Network-based models for social recommender systems,stat
$K$-Means and Gaussian Mixture Modeling with a Separation Constraint,stat
"Multispectral Fusion for Object Detection with Cyclic Fuse-and-Refine
  Blocks",cs
"A non-autonomous equation discovery method for time signal
  classification",stat
Forward-Backward Splitting for Optimal Transport based Problems,stat
"Conformity bias in the cultural transmission of music sampling
  traditions",stat
Training Two-Layer ReLU Networks with Gradient Descent is Inconsistent,stat
The Inverse G-Wishart Distribution and Variational Message Passing,stat
Leave-one-out Approach for Matrix Completion: Primal and Dual Analysis,stat
"Chaos-Based Multicarrier VLC Modulator With Compensation of LED
  Nonlinearity",cs
Compositional Languages Emerge in a Neural Iterated Learning Model,cs
Equivariant Neural Rendering,cs
Stopping Criterion for Active Learning Based on Error Stability,stat
"AHAR: Adaptive CNN for Energy-efficient Human Activity Recognition in
  Low-power Edge Devices",cs
"Unsupervised Instance Selection with Low-Label, Supervised Learning for
  Outlier Detection",cs
Relevance-Promoting Language Model for Short-Text Conversation,cs
Kronecker Attention Networks,cs
A Game-Theoretic Approach to Covert Communications,cs
"Interaction between two exposures: determining odds ratios and
  confidence intervals for risk estimates",stat
Context-Based Dynamic Pricing with Online Clustering,stat
Data Augmentation for Hypernymy Detection,cs
"Bias in the estimation of cumulative viremia in cohort studies of
  HIV-infected individuals",stat
"Thesis Deployment Optimization of IoT Devices through Attack Graph
  Analysis",cs
"TransRegex: Multi-modal Regular Expression Synthesis by
  Generate-and-Repair",cs
Directional Assessment of Traffic Flow Extremes,stat
Leveraging Semantic Embeddings for Safety-Critical Applications,stat
"A semi-supervised deep residual network for mode detection in Wi-Fi
  signals",cs
"Risk Projection for Time-to-event Outcome Leveraging Summary Statistics
  With Source Individual-level Data",stat
CatBoostLSS -- An extension of CatBoost to probabilistic forecasting,stat
"A New Integer Programming Formulation of the Graphical Traveling
  Salesman Problem",cs
Deep Reinforcement Learning for Detecting Malicious Websites,cs
A self-organizing fuzzy neural network for sequence learning,cs
Towards Generating Ambisonics Using Audio-Visual Cue for Virtual Reality,cs
Relaxed Conditional Image Transfer for Semi-supervised Domain Adaptation,cs
Efficiency of Observed Information Adaptive Designs,stat
Robust Approach to Restricted Items Selection Problem,cs
Kalman Filtering with Gaussian Processes Measurement Noise,stat
"Choosing the correlation structure of mixed effect models for
  experiments with stimuli",stat
Fine-tuning BERT-based models for Plant Health Bulletin Classification,cs
Texture Selection for Automatic Music Genre Classification,cs
"Compressive Sensing Using Iterative Hard Thresholding with Low Precision
  Data Representation: Theory and Applications",stat
Autoencoders Learn Generative Linear Models,stat
"Seasonal Entropy, Diversity and Inequality Measures of Submitted and
  Accepted Papers Distributions In Peer-Reviewed Journals",cs
Evaluating Gender Bias in Machine Translation,cs
CoCoNets: Continuous Contrastive 3D Scene Representations,cs
"A Hitchhiker's Guide to Statistical Comparisons of Reinforcement
  Learning Algorithms",stat
"StateSpaceModels.jl: a Julia Package for Time-Series Analysis in a
  State-Space Framework",stat
"High-resolution Probabilistic Precipitation Prediction for use in
  Climate Simulations",stat
Blockchain and human episodic memory,cs
"An efficient algorithm to decide periodicity of $b$-recognisable sets
  using LSDF convention",cs
"Fast Best Subset Selection: Coordinate Descent and Local Combinatorial
  Optimization Algorithms",stat
"A Differentiable Ranking Metric Using Relaxed Sorting Operation for
  Top-K Recommender Systems",cs
Video Object Segmentation using Space-Time Memory Networks,cs
"Exact Inference with Approximate Computation for Differentially Private
  Data via Perturbations",stat
Designing an Android Application for Bills Segregation,cs
"SETGAN: Scale and Energy Trade-off GANs for Image Applications on Mobile
  Platforms",cs
Optimal Subsampling Algorithms for Big Data Regressions,stat
A Variational Approach to Unsupervised Sentiment Analysis,cs
"Mixed Hamiltonian Monte Carlo for Mixed Discrete and Continuous
  Variables",stat
Program-Guided Image Manipulators,cs
"Objective Social Choice: Using Auxiliary Information to Improve Voting
  Outcomes",cs
"A functional autoregressive model based on exogenous hydrometeorological
  variables for river flow prediction",stat
Experiential AI,cs
"Fog Computing for Detecting Vehicular Congestion, An Internet of
  Vehicles based Approach: A review",cs
"A Possibility Distribution Based Multi-Criteria Decision Algorithm for
  Resilient Supplier Selection Problems",cs
"Explanation Augmented Feedback in Human-in-the-Loop Reinforcement
  Learning",cs
"A Projection Based Conditional Dependence Measure with Applications to
  High-dimensional Undirected Graphical Models",stat
Actionable Recourse in Linear Classification,stat
"CascadeTabNet: An approach for end to end table detection and structure
  recognition from image-based documents",cs
Normalizing Flows Across Dimensions,stat
"An Analysis of Quality Indicators Using Approximated Optimal
  Distributions in a Three-dimensional Objective Space",cs
Self-Attention Generative Adversarial Networks,stat
"Statistically Efficient, Polynomial Time Algorithms for Combinatorial
  Semi Bandits",stat
PsychFM: Predicting your next gamble,cs
Efficient Nearest-Neighbor Query and Clustering of Planar Curves,cs
"Forecasting, Causality, and Impulse Response with Neural Vector
  Autoregressions",stat
"Regularized Estimation in High-Dimensional Vector Auto-Regressive Models
  using Spatio-Temporal Information",stat
A dynamic stochastic blockmodel for interaction lengths,stat
Learning a Proposal Classifier for Multiple Object Tracking,cs
"Bayesian Multivariate Probability of Success Using Historical Data with
  Strict Control of Family-wise Error Rate",stat
"Unsupervised Pretraining for Neural Machine Translation Using Elastic
  Weight Consolidation",cs
Forecast score distributions with imperfect observations,stat
Estimating Monte Carlo variance from multiple Markov chains,stat
"Meta-learning representations for clustering with infinite Gaussian
  mixture models",stat
Model and Reinforcement Learning for Markov Games with Risk Preferences,cs
Derandomizing Knockoffs,stat
Stacking Models for Nearly Optimal Link Prediction in Complex Networks,stat
Decoder Choice Network for Meta-Learning,cs
"Data-Free Likelihood-Informed Dimension Reduction of Bayesian Inverse
  Problems",stat
Continuum-Armed Bandits: A Function Space Perspective,stat
Global convergence of neuron birth-death dynamics,stat
Scalable Feature Matching Across Large Data Collections,stat
Attentive Graph Neural Networks for Few-Shot Learning,cs
Functional L-Optimality Subsampling for Massive Data,stat
"Quantifying the causal effect of speed cameras on road traffic accidents
  via an approximate Bayesian doubly robust estimator",stat
Symmetry constrained machine learning,stat
Cross-validation: what does it estimate and how well does it do it?,stat
Multilingual and Multi-Aspect Hate Speech Analysis,cs
Best-First Beam Search,cs
"Uniformly valid confidence intervals for conditional treatment effects
  in misspecified high-dimensional models",stat
Interpolating Predictors in High-Dimensional Factor Regression,stat
"Joint modeling with time-dependent treatment and heteroskedasticity:
  Bayesian analysis with application to the Framingham Heart Study",stat
"Minimum bounded chains and minimum homologous chains in embedded
  simplicial complexes",cs
Polyrhythmic Bimanual Coordination Training using Haptic Force Feedback,cs
"CISE3: Verifica\c{c}\~ao de aplica\c{c}\~oes com consist\^encia fraca em
  Why3",cs
"Identifying Gene-environment interactions with robust marginal Bayesian
  variable selection",stat
GIF: Generative Interpretable Faces,cs
Noisy Text Data: Achilles' Heel of BERT,cs
A mathematical model for universal semantics,cs
"Architectural Middleware that Supports Building High-performance,
  Scalable, Ubiquitous, Intelligent Personal Assistants",cs
"The rational SPDE approach for Gaussian random fields with general
  smoothness",stat
An Evaluation of Bounding Approaches for Generalization,stat
"Designing experiments for estimating an appropriate outlet size for a
  silo type problem",stat
Linear pooling of sample covariance matrices,stat
"Disseminating Research News in HCI: Perceived Hazards, How-To's, and
  Opportunities for Innovation",cs
The Limitations of Adversarial Training and the Blind-Spot Attack,stat
"When Wireless Communication Faces COVID-19: Combating the Pandemic and
  Saving the Economy",cs
Causal Inference on Networks under Continuous Treatment Interference,stat
The Political Significance of Social Penumbras,stat
Spectral neighbor joining for reconstruction of latent tree models,stat
CO-Optimal Transport,stat
Mobility Functional Areas and COVID-19 Spread,stat
Bayesian Optimization with Unknown Search Space,stat
"Nonconvex Regularized Gradient Projection Sparse Reconstruction for
  Massive MIMO Channel Estimation",cs
"Simultaneous Dimensionality and Complexity Model Selection for Spectral
  Graph Clustering",stat
Robust approximate linear regression without correspondence,stat
On Comparison Of Experts,stat
Log-symmetric quantile regression models,stat
"Implementing BOLA-BASIC on Puffer: Lessons for the use of SSIM in ABR
  logic",cs
"ProxylessKD: Direct Knowledge Distillation with Inherited Classifier for
  Face Recognition",cs
Compressing GANs using Knowledge Distillation,cs
Disentangled Image Generation Through Structured Noise Injection,cs
Bellman: A Toolbox for Model-Based Reinforcement Learning in TensorFlow,cs
Manifold Density Estimation via Generalized Dequantization,stat
DUETS: A Dataset of Reproducible Pairs ofJava Library-Clients,cs
"Feature Relevance Determination for Ordinal Regression in the Context of
  Feature Redundancies and Privileged Information",cs
Contrastive Learning of Global and Local Audio-Visual Representations,cs
Prediction of ESG Compliance using a Heterogeneous Information Network,cs
Security Issues and Challenges in Service Meshes -- An Extended Study,cs
Modeling Color Terminology Across Thousands of Languages,cs
"Minimum discrepancy principle strategy for choosing $k$ in $k$-NN
  regression",stat
Gen-Oja: A Two-time-scale approach for Streaming CCA,cs
Capsule GAN Using Capsule Network for Generator Architecture,cs
